Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.365000	-0.535869	0.046755	0.582623	0.282390	-0.645761	0.363371
0.370000	-0.572132	0.067877	0.640008	0.291132	-0.699829	0.408697
0.375000	-0.603721	0.082363	0.686084	0.301006	-0.744669	0.443663
0.380000	-0.631670	0.093082	0.724752	0.310954	-0.783130	0.472176
0.385000	-0.656565	0.101704	0.758268	0.320349	-0.816854	0.496505
0.390000	-0.679005	0.108987	0.787992	0.329100	-0.846970	0.517870
0.395000	-0.700324	0.116501	0.816824	0.337070	-0.875925	0.538855
0.400000	-0.722011	0.125249	0.847260	0.344540	-0.906018	0.561478
0.405000	-0.744851	0.135348	0.880199	0.351897	-0.938223	0.586326
0.410000	-0.769487	0.147661	0.917148	0.359011	-0.973779	0.614768
0.415000	-0.795612	0.162665	0.958277	0.365432	-1.012608	0.647176
0.420000	-0.821802	0.178548	1.000350	0.371382	-1.052019	0.680637
0.425000	-0.846475	0.193312	1.039787	0.377104	-1.089033	0.711930
0.430000	-0.867777	0.206400	1.074176	0.381846	-1.121186	0.739340
0.435000	-0.884303	0.217081	1.101383	0.385221	-1.146436	0.761215
0.440000	-0.896415	0.224229	1.120644	0.388087	-1.164549	0.776463
0.445000	-0.905738	0.227369	1.133107	0.391656	-1.177127	0.785471
0.450000	-0.913799	0.226730	1.140529	0.396679	-1.186066	0.789387
0.455000	-0.921220	0.223583	1.144803	0.402781	-1.192818	0.790037
0.460000	-0.927232	0.219404	1.146636	0.408664	-1.197348	0.788684
0.465000	-0.930146	0.214036	1.144182	0.413446	-1.197613	0.784168
0.470000	-0.929168	0.206195	1.135363	0.417409	-1.191957	0.774548
0.475000	-0.924858	0.195599	1.120457	0.421037	-1.180862	0.759825
0.480000	-0.917988	0.183767	1.101755	0.423902	-1.166098	0.742196
0.485000	-0.909194	0.171555	1.080748	0.425876	-1.148893	0.723017
0.490000	-0.898358	0.159307	1.057665	0.426691	-1.129310	0.702618
0.495000	-0.884741	0.148932	1.033674	0.424819	-1.107597	0.682777
0.500000	-0.867732	0.141244	1.008977	0.419438	-1.083518	0.664080
