% Model:                Oxygen transport.mph
% Version:              COMSOL 4.1.0.88
% Date:                 May 5 2016, 19:01
% Dimension:            1
% Nodes:                78
% Expressions:          1
% Description:          Line graph
% x                       Height
0                         0.22
0.0045458166860044        0.22
0.0090916333720088        0.21999999999999997
0.013637449592351913      0.21999999999999997
0.0181832667440176        0.21999999999999997
0.02272908389568329       0.21999999999999997
0.027274901047348976      0.22
0.031820718199014664      0.22
0.03564327955245972       0.22
0.03946584090590477       0.21999999999999997
0.04328840225934982       0.21999999999999997
0.047110963612794876      0.21999999999999997
0.05093352496623993       0.21999999999999997
0.05475608631968498       0.22
0.058578647673130035      0.22
0.06179302558302879       0.22
0.06500740349292755       0.21999999999999997
0.06822177767753601       0.21999999999999997
0.07143615186214447       0.21999999999999997
0.07465052604675293       0.21999999999999997
0.07786490023136139       0.22
0.08107927441596985       0.22
0.08378223329782486       0.22
0.08648519217967987       0.21999999999999997
0.08918815106153488       0.21999999999999997
0.09189110994338989       0.21999999999999997
0.0945940688252449        0.21999999999999997
0.09729702770709991       0.22
0.09999998658895493       0.22
0.10285712778568268       0.21985395240564673
0.10571426898241043       0.21970790481129343
0.10857141017913818       0.21956185721694013
0.11142855137586594       0.2194158096225869
0.11428569257259369       0.21926976202823356
0.11714283376932144       0.21912371443388032
0.1199999749660492        0.21897766683952702
0.12287050485610962       0.21895001059776914
0.12574103474617004       0.2189223543560112
0.12861156463623047       0.21889469811425327
0.1314820945262909        0.2188670418724954
0.13435262441635132       0.21883938563073746
0.13722315430641174       0.21881172938897953
0.14009368419647217       0.21878407314722162
0.14354100823402405       0.21875479235768003
0.14698833227157593       0.2187255115681384
0.1504356563091278        0.2186962307785968
0.1538829803466797        0.21866694998905523
0.15733030438423157       0.2186376691995136
0.16077762842178345       0.218608388409972
0.16422495245933533       0.2185791076204304
0.1683649718761444        0.21854957100690542
0.1725049912929535        0.2185200343933804
0.17664501070976257       0.2184904977798554
0.18078503012657166       0.2184609611663304
0.18492504954338074       0.21843142455280545
0.18906506896018982       0.21840188793928045
0.1932050883769989        0.21837235132575544
0.19817699491977692       0.21834498046878187
0.20314890146255493       0.21831760961180824
0.20812080800533295       0.2182902387548346
0.21309271454811096       0.21826286789786103
0.21806462109088898       0.21823549704088743
0.223036527633667         0.21820812618391383
0.228008434176445         0.21818075532694023
0.23397937417030334       0.21815937107346015
0.23995031416416168       0.21813798681998003
0.24592125415802002       0.2181166025664999
0.25189217925071716       0.21809521831301984
0.2578631043434143        0.21807383405953973
0.26383402943611145       0.21805244980605962
0.2698049545288086        0.21803106555257953
0.2769756615161896        0.21802188668203892
0.28414636850357056       0.21801270781149834
0.29131707549095154       0.2180035289409577
0.2984877824783325        0.21799435007041712
0.3056584894657135        0.2179851711998765
0.3128291964530945        0.2179759923293359
0.31999990344047546       0.2179668134587953
