Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.415000	-0.603434	-0.178360	0.425074	0.451369	-0.593809	0.142440
0.420000	-0.598944	-0.171003	0.427941	0.444529	-0.592872	0.148343
0.425000	-0.593766	-0.166023	0.427742	0.438664	-0.589768	0.151104
0.430000	-0.587202	-0.163600	0.423603	0.433476	-0.583588	0.150113
0.435000	-0.578548	-0.162620	0.415928	0.427913	-0.574160	0.146247
0.440000	-0.567272	-0.161997	0.405274	0.421043	-0.561499	0.140456
0.445000	-0.553151	-0.161064	0.392087	0.412352	-0.545733	0.133381
0.450000	-0.536458	-0.159010	0.377447	0.401528	-0.527643	0.126115
0.455000	-0.517420	-0.155428	0.361992	0.388469	-0.507729	0.119259
0.460000	-0.497048	-0.150750	0.346297	0.374006	-0.486905	0.112899
0.465000	-0.476981	-0.145174	0.331807	0.359201	-0.466953	0.107753
0.470000	-0.458249	-0.138019	0.320229	0.344255	-0.449454	0.105199
0.475000	-0.441188	-0.129817	0.311372	0.329670	-0.434490	0.104821
0.480000	-0.426190	-0.122195	0.303995	0.316610	-0.421572	0.104962
0.485000	-0.413852	-0.116279	0.297573	0.306071	-0.410741	0.104670
0.490000	-0.405035	-0.112598	0.292436	0.298855	-0.402685	0.103830
0.495000	-0.400551	-0.111016	0.289536	0.295353	-0.398422	0.103069
0.500000	-0.400391	-0.111400	0.288991	0.295482	-0.398014	0.102532
0.505000	-0.404028	-0.113918	0.290111	0.299036	-0.400761	0.101725
0.510000	-0.410664	-0.118971	0.291693	0.305784	-0.405506	0.099721
0.515000	-0.419446	-0.127425	0.292021	0.315736	-0.410765	0.095029
0.520000	-0.429830	-0.139002	0.290828	0.328415	-0.416072	0.087657
0.525000	-0.442035	-0.152449	0.289586	0.343225	-0.422401	0.079176
0.530000	-0.456823	-0.167063	0.289760	0.360200	-0.431040	0.070839
0.535000	-0.475012	-0.181718	0.293294	0.379163	-0.443582	0.064419
0.540000	-0.495071	-0.194912	0.300159	0.398362	-0.459126	0.060765
0.545000	-0.511968	-0.206118	0.305850	0.414587	-0.472167	0.057580
0.550000	-0.520703	-0.215361	0.305342	0.424967	-0.476917	0.051950
0.555000	-0.519142	-0.222512	0.296629	0.428194	-0.470986	0.042791
0.560000	-0.507810	-0.227606	0.280203	0.424592	-0.454959	0.030367
0.565000	-0.489242	-0.231109	0.258133	0.415895	-0.431497	0.015603
0.570000	-0.467071	-0.232821	0.234250	0.404083	-0.404907	0.000825
0.575000	-0.444955	-0.231978	0.212977	0.390828	-0.379858	-0.010970
0.580000	-0.425772	-0.228534	0.197238	0.377763	-0.359695	-0.018069
0.585000	-0.411046	-0.223379	0.187666	0.366285	-0.345666	-0.020619
0.590000	-0.400605	-0.217163	0.183442	0.356669	-0.337199	-0.019469
