Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.365000	-0.472828	-0.118890	0.353938	0.341628	-0.477333	0.135705
0.370000	-0.459618	-0.115652	0.343966	0.332132	-0.463949	0.131817
0.375000	-0.449644	-0.113264	0.336380	0.324995	-0.453811	0.128816
0.380000	-0.442918	-0.111271	0.331647	0.319961	-0.447195	0.127234
0.385000	-0.439428	-0.110276	0.329152	0.317371	-0.443739	0.126368
0.390000	-0.439019	-0.110875	0.328143	0.317481	-0.442921	0.125440
0.395000	-0.441407	-0.112634	0.328772	0.319876	-0.444663	0.124787
0.400000	-0.445719	-0.114743	0.330976	0.323583	-0.448425	0.124842
0.405000	-0.450447	-0.116468	0.333979	0.327308	-0.452888	0.125580
0.410000	-0.452029	-0.115929	0.336099	0.327911	-0.455026	0.127115
0.415000	-0.442673	-0.107969	0.334704	0.317913	-0.448818	0.130905
0.420000	-0.422697	-0.081380	0.341317	0.291029	-0.441103	0.150074
0.425000	-0.406615	-0.013272	0.393343	0.242422	-0.461856	0.219434
0.430000	-0.413673	0.121641	0.535314	0.168604	-0.547898	0.379293
0.435000	-0.460292	0.332086	0.792378	0.074020	-0.723229	0.649209
0.440000	-0.551712	0.595519	1.147231	-0.025292	-0.980885	1.006177
0.445000	-0.671905	0.853969	1.525874	-0.105115	-1.268887	1.374002
0.450000	-0.790034	1.041487	1.831521	-0.145176	-1.513555	1.658731
0.455000	-0.877306	1.115259	1.992565	-0.137382	-1.656920	1.794302
0.460000	-0.918664	1.066344	1.985008	-0.085263	-1.676435	1.761698
0.465000	-0.910315	0.910939	1.821254	-0.000361	-1.577071	1.577432
0.470000	-0.854649	0.683746	1.538394	0.098671	-1.381623	1.282952
0.475000	-0.766222	0.435377	1.201599	0.191013	-1.136122	0.945108
0.480000	-0.668479	0.213728	0.882206	0.262551	-0.895288	0.632737
0.485000	-0.582043	0.046146	0.628189	0.309400	-0.698727	0.389328
0.490000	-0.518026	-0.062270	0.455756	0.335034	-0.562213	0.227180
0.495000	-0.478442	-0.121269	0.357173	0.346243	-0.482442	0.136199
0.500000	-0.459031	-0.146773	0.312258	0.349761	-0.445303	0.095542
0.505000	-0.452936	-0.154105	0.298831	0.350475	-0.434032	0.083557
0.510000	-0.454339	-0.154513	0.299826	0.351520	-0.435417	0.083896
0.515000	-0.459010	-0.154269	0.304741	0.354077	-0.440952	0.086875
0.520000	-0.464021	-0.155078	0.308943	0.357437	-0.446270	0.088834
0.525000	-0.467404	-0.156004	0.311400	0.359925	-0.449643	0.089718
0.530000	-0.467519	-0.156450	0.311069	0.360248	-0.449518	0.089270
