Time	Lead I	Lead II	Lead III	aVR	aVL	aVF
0.355000	-0.680392	-0.304663	0.375730	0.568722	-0.609752	0.041030
0.360000	-0.640666	-0.295659	0.345008	0.540587	-0.569079	0.028492
0.365000	-0.607401	-0.287665	0.319736	0.516766	-0.535283	0.018516
0.370000	-0.586832	-0.281590	0.305242	0.501383	-0.515039	0.013655
0.375000	-0.579840	-0.277221	0.302619	0.494825	-0.509488	0.014663
0.380000	-0.582712	-0.273969	0.308742	0.494605	-0.514681	0.020076
0.385000	-0.589657	-0.270820	0.318837	0.496797	-0.524520	0.027723
0.390000	-0.595255	-0.267396	0.327859	0.498052	-0.532960	0.034908
0.395000	-0.596079	-0.264142	0.331937	0.496649	-0.535790	0.039141
0.400000	-0.591155	-0.260464	0.330691	0.491683	-0.532228	0.040545
0.405000	-0.580791	-0.255741	0.325050	0.482971	-0.522987	0.040016
0.410000	-0.565687	-0.250222	0.315465	0.471065	-0.508734	0.037668
0.415000	-0.547364	-0.243567	0.303796	0.456644	-0.491417	0.034773
0.420000	-0.527560	-0.235851	0.291710	0.440755	-0.473006	0.032250
0.425000	-0.507245	-0.228314	0.278932	0.424675	-0.453899	0.029224
0.430000	-0.487093	-0.222082	0.265012	0.409442	-0.434228	0.024785
0.435000	-0.467705	-0.216852	0.250853	0.395229	-0.414859	0.019630
0.440000	-0.449418	-0.211739	0.237679	0.381719	-0.396696	0.014977
0.445000	-0.432767	-0.207089	0.225678	0.369421	-0.380153	0.010732
0.450000	-0.418815	-0.203534	0.215281	0.359313	-0.366096	0.006782
0.455000	-0.408876	-0.201451	0.207425	0.352373	-0.355822	0.003449
0.460000	-0.404073	-0.201825	0.202248	0.349815	-0.350059	0.000244
0.465000	-0.405896	-0.205090	0.200805	0.352753	-0.350279	-0.002474
0.470000	-0.415124	-0.210726	0.204397	0.361334	-0.357680	-0.003654
0.475000	-0.430403	-0.218324	0.212079	0.374543	-0.370937	-0.003605
0.480000	-0.449394	-0.227201	0.222193	0.390632	-0.387741	-0.002892
0.485000	-0.469138	-0.235384	0.233754	0.406756	-0.405814	-0.000941
0.490000	-0.486837	-0.241517	0.245320	0.420515	-0.422711	0.002196
0.495000	-0.500263	-0.246249	0.254014	0.430998	-0.435482	0.004483
0.500000	-0.507737	-0.249696	0.258041	0.437304	-0.442122	0.004818
0.505000	-0.508383	-0.251069	0.257314	0.438470	-0.442075	0.003605
0.510000	-0.502397	-0.250008	0.252389	0.434401	-0.435776	0.001375
0.515000	-0.491300	-0.246656	0.244644	0.426059	-0.424897	-0.001162
0.520000	-0.476373	-0.241706	0.234667	0.414583	-0.410519	-0.004064
0.525000	-0.458782	-0.236744	0.222038	0.401562	-0.393072	-0.008490
0.530000	-0.440472	-0.232984	0.207488	0.388820	-0.374100	-0.014720
0.535000	-0.423506	-0.230429	0.193077	0.377550	-0.355984	-0.021565
0.540000	-0.409654	-0.228565	0.181089	0.368476	-0.341065	-0.027411
0.545000	-0.401553	-0.227387	0.174166	0.363119	-0.332391	-0.030728
0.550000	-0.401180	-0.226862	0.174318	0.362600	-0.332264	-0.030337
0.555000	-0.407275	-0.226590	0.180685	0.365962	-0.339459	-0.026503
0.560000	-0.416909	-0.226168	0.190741	0.371281	-0.350827	-0.020453
0.565000	-0.427406	-0.225331	0.202075	0.376858	-0.363431	-0.013427
0.570000	-0.436276	-0.223912	0.212364	0.381160	-0.374493	-0.006668
0.575000	-0.441126	-0.221656	0.219470	0.382657	-0.381395	-0.001262
0.580000	-0.440381	-0.217933	0.222449	0.380078	-0.382685	0.002607
0.585000	-0.433644	-0.211868	0.221776	0.372686	-0.378407	0.005720
0.590000	-0.420818	-0.204019	0.216799	0.360749	-0.368128	0.007379
0.595000	-0.402530	-0.196120	0.206409	0.345631	-0.351571	0.005940
0.600000	-0.381177	-0.188724	0.192454	0.329032	-0.331186	0.002154
0.605000	-0.358856	-0.181232	0.177623	0.311820	-0.309736	-0.002084
0.610000	-0.336789	-0.173958	0.162831	0.294880	-0.288456	-0.006424
0.615000	-0.315667	-0.166868	0.148799	0.278592	-0.268160	-0.010432
0.620000	-0.295605	-0.159694	0.135911	0.262867	-0.249136	-0.013731
0.625000	-0.276521	-0.153388	0.123132	0.248208	-0.230740	-0.017468
0.630000	-0.258780	-0.148729	0.110051	0.235276	-0.212945	-0.022331
0.635000	-0.243557	-0.145138	0.098420	0.224413	-0.197440	-0.026973
0.640000	-0.232349	-0.142693	0.089655	0.216530	-0.185909	-0.030621
0.645000	-0.226772	-0.141995	0.084777	0.212908	-0.179872	-0.033035
0.650000	-0.227730	-0.142813	0.084917	0.213933	-0.180507	-0.033426
0.655000	-0.236198	-0.145561	0.090637	0.220408	-0.188698	-0.031711
0.660000	-0.253110	-0.151329	0.101781	0.233503	-0.204896	-0.028607
0.665000	-0.278449	-0.159901	0.118548	0.253081	-0.229206	-0.023875
0.670000	-0.310925	-0.170084	0.140841	0.277710	-0.260827	-0.016883
0.675000	-0.347529	-0.181051	0.166478	0.305176	-0.296762	-0.008413
0.680000	-0.384708	-0.192504	0.192204	0.333253	-0.333080	-0.000173
0.685000	-0.419571	-0.203391	0.216180	0.359667	-0.367051	0.007384
0.690000	-0.449901	-0.213062	0.236839	0.382761	-0.396489	0.013728
0.695000	-0.474142	-0.221197	0.252944	0.401454	-0.419783	0.018329
0.700000	-0.490629	-0.226648	0.263981	0.414120	-0.435674	0.021554
0.705000	-0.498165	-0.228918	0.269247	0.419782	-0.443066	0.023284
0.710000	-0.497160	-0.229251	0.267908	0.419393	-0.441712	0.022319
0.715000	-0.489131	-0.228373	0.260758	0.414251	-0.432948	0.018697
0.720000	-0.475605	-0.225752	0.249853	0.404929	-0.418843	0.013915
0.725000	-0.457430	-0.221455	0.235975	0.391954	-0.400337	0.008383
0.730000	-0.436112	-0.216112	0.220000	0.376562	-0.378806	0.002244
0.735000	-0.414603	-0.210536	0.204067	0.360924	-0.357189	-0.003735
0.740000	-0.396235	-0.205325	0.190909	0.347311	-0.338987	-0.008323
0.745000	-0.382530	-0.201130	0.181399	0.336976	-0.325585	-0.011392
0.750000	-0.372497	-0.197527	0.174971	0.329104	-0.316081	-0.013023
0.755000	-0.363653	-0.193494	0.170159	0.321669	-0.308196	-0.013472
0.760000	-0.353281	-0.188666	0.164614	0.312893	-0.299007	-0.013886
0.765000	-0.339026	-0.182162	0.156864	0.300907	-0.286302	-0.014606
0.770000	-0.319132	-0.172713	0.146418	0.283967	-0.268785	-0.015181
0.775000	-0.294197	-0.161311	0.132886	0.262988	-0.246576	-0.016412
0.780000	-0.266123	-0.149468	0.116655	0.239942	-0.220997	-0.018945
0.785000	-0.236804	-0.137686	0.099119	0.216212	-0.193945	-0.022267
0.790000	-0.207941	-0.126416	0.081524	0.193041	-0.167123	-0.025919
0.795000	-0.180685	-0.116228	0.064456	0.171423	-0.141532	-0.029891
0.800000	-0.155364	-0.107334	0.048031	0.151669	-0.117430	-0.034239
0.805000	-0.132286	-0.099659	0.032627	0.133913	-0.095213	-0.038701
0.810000	-0.111596	-0.093546	0.018050	0.118438	-0.074851	-0.043587
0.815000	-0.093207	-0.089068	0.004139	0.105236	-0.056203	-0.049034
0.820000	-0.077660	-0.085699	-0.008039	0.094315	-0.040196	-0.054119
0.825000	-0.066260	-0.083429	-0.017169	0.086423	-0.028342	-0.058080
0.830000	-0.059913	-0.082495	-0.022582	0.082219	-0.021553	-0.060666
0.835000	-0.059790	-0.082994	-0.023204	0.082437	-0.021123	-0.061314
0.840000	-0.067690	-0.085771	-0.018082	0.088601	-0.028641	-0.059960
0.845000	-0.085186	-0.091944	-0.006758	0.102266	-0.045281	-0.056986
0.850000	-0.113344	-0.101873	0.011471	0.124255	-0.072062	-0.052194
0.855000	-0.151680	-0.114885	0.036795	0.153901	-0.108816	-0.045085
0.860000	-0.198022	-0.129454	0.068568	0.189069	-0.153916	-0.035153
0.865000	-0.248649	-0.143872	0.104777	0.226622	-0.204050	-0.022571
0.870000	-0.300188	-0.157269	0.142919	0.264113	-0.255828	-0.008285
0.875000	-0.350646	-0.169997	0.180649	0.300593	-0.306743	0.006150
0.880000	-0.398202	-0.182336	0.215866	0.335173	-0.354532	0.019358
0.885000	-0.440269	-0.193207	0.247062	0.365738	-0.396831	0.031093
0.890000	-0.473393	-0.201849	0.271545	0.389851	-0.430090	0.040239
0.895000	-0.495241	-0.208033	0.287208	0.406035	-0.451747	0.045712
0.900000	-0.505620	-0.211735	0.293885	0.414165	-0.461594	0.047429
0.905000	-0.505743	-0.213103	0.292640	0.415026	-0.460946	0.045920
0.910000	-0.497147	-0.212305	0.284842	0.409602	-0.451481	0.041880
0.915000	-0.482054	-0.209498	0.272556	0.399267	-0.435674	0.036407
0.920000	-0.462315	-0.204947	0.257368	0.385243	-0.415509	0.030266
0.925000	-0.438432	-0.199222	0.239210	0.368150	-0.391237	0.023087
0.930000	-0.411560	-0.192813	0.218746	0.348935	-0.363907	0.014973
0.935000	-0.384123	-0.186056	0.198067	0.329193	-0.336128	0.006935
0.940000	-0.357943	-0.179110	0.178832	0.310067	-0.309907	-0.000160
0.945000	-0.332520	-0.171629	0.160891	0.291070	-0.284871	-0.006199
0.950000	-0.305682	-0.162046	0.143636	0.270042	-0.259413	-0.010629
0.955000	-0.274722	-0.149896	0.124826	0.245154	-0.230679	-0.014474
