Time,Healthy,Osteoarthritic
1325,-0.3212,-0.479
1330,-0.3216,-0.48
1335,-0.3216,-0.48
1340,-0.3224,-0.481
1345,-0.3224,-0.481
1350,-0.3224,-0.482
1355,-0.3232,-0.482
1360,-0.3236,-0.483
1365,-0.324,-0.483
1370,-0.324,-0.484
1375,-0.3244,-0.484
1380,-0.3244,-0.485
1385,-0.3252,-0.485
1390,-0.3252,-0.485
1395,-0.326,-0.486
1400,-0.326,-0.486
1405,-0.3264,-0.486
1410,-0.3268,-0.487
1415,-0.3268,-0.488
1420,-0.3272,-0.489
1425,-0.3272,-0.488
1430,-0.328,-0.489
1435,-0.328,-0.489
1440,-0.3284,-0.49
1445,-0.3284,-0.49
1450,-0.3288,-0.491
1455,-0.3292,-0.491
1460,-0.3292,-0.492
1465,-0.33,-0.492
1470,-0.33,-0.493
1475,-0.3304,-0.493
1480,-0.3308,-0.494
1485,-0.3312,-0.494
1490,-0.3312,-0.495
1495,-0.3316,-0.495
1500,-0.3316,-0.495
1505,-0.332,-0.496
1510,-0.3324,-0.496
1515,-0.3328,-0.497
1520,-0.3332,-0.498
1525,-0.3332,-0.498
1530,-0.3336,-0.499
1535,-0.334,-0.499
1540,-0.3344,-0.499
1545,-0.3344,-0.499
1550,-0.3344,-0.5
1555,-0.3348,-0.501
1560,-0.3352,-0.5
1565,-0.3356,-0.501
1570,-0.336,-0.501
1575,-0.336,-0.502
1580,-0.3368,-0.502
1585,-0.3368,-0.503
1590,-0.3368,-0.504
1595,-0.3372,-0.504
1600,-0.3372,-0.504
1605,-0.3376,-0.505
1610,-0.3376,-0.505
1615,-0.338,-0.505
1620,-0.3384,-0.506
1625,-0.3384,-0.506
1630,-0.3388,-0.507
1635,-0.3392,-0.508
1640,-0.3396,-0.508
1645,-0.34,-0.509
1650,-0.34,-0.509
1655,-0.3404,-0.509
1660,-0.3408,-0.51
1665,-0.3408,-0.51
1670,-0.3408,-0.51
1675,-0.3412,-0.51
1680,-0.3416,-0.511
1685,-0.342,-0.512
1690,-0.342,-0.512
1695,-0.342,-0.512
1700,-0.3424,-0.512
1705,-0.3428,-0.513
1710,-0.3428,-0.513
1715,-0.3432,-0.514
1720,-0.3432,-0.514
1725,-0.344,-0.515
1730,-0.344,-0.515
1735,-0.3444,-0.516
1740,-0.3444,-0.516
1745,-0.3448,-0.516
1750,-0.3452,-0.517
1755,-0.3452,-0.517
1760,-0.3456,-0.517
1765,-0.3456,-0.518
1770,-0.346,-0.519
1775,-0.346,-0.518
1780,-0.3464,-0.519
1785,-0.3464,-0.521
1790,-0.3464,-0.52
1795,-0.3472,-0.521
1800,-0.3472,-0.521
1805,-0.3476,-0.521
1810,-0.3476,-0.522
1815,-0.348,-0.523
1820,-0.3484,-0.522
1825,-0.3484,-0.523
1830,-0.3488,-0.524
1835,-0.3488,-0.524
1840,-0.3488,-0.524
1845,-0.3492,-0.525
1850,-0.3496,-0.524
1855,-0.3496,-0.525
1860,-0.35,-0.526
1865,-0.35,-0.526
1870,-0.3504,-0.526
1875,-0.3508,-0.528
1880,-0.3512,-0.527
1885,-0.3512,-0.527
1890,-0.3516,-0.527
1895,-0.3516,-0.528
1900,-0.352,-0.528
1905,-0.3524,-0.529
1910,-0.3524,-0.53
1915,-0.3524,-0.53
1920,-0.3528,-0.53
1925,-0.3528,-0.53
1930,-0.3532,-0.53
1935,-0.3532,-0.531
1940,-0.3536,-0.531
1945,-0.3536,-0.531
1950,-0.3536,-0.532
1955,-0.3544,-0.533
1960,-0.3544,-0.533
1965,-0.3548,-0.533
1970,-0.3548,-0.533
1975,-0.3552,-0.534
1980,-0.3552,-0.535
1985,-0.3552,-0.534
